model,positive_class,bin,mean_predicted_empty_probability,observed_empty_fraction
Historical average,empty,1,9.999999974752427e-07,0.008306488725264611
Historical average,empty,2,0.037037014961242676,0.016692025418419403
Historical average,empty,3,0.05798455669378266,0.0310314399633963
Historical average,empty,4,0.10650886939122127,0.035256410256410256
Historical average,empty,5,0.14377965529759726,0.05555555555555555
Historical average,empty,6,0.27652530466221137,0.19873255482768443
Historical average,empty,7,0.46409051858074357,0.34117009750812566
Historical average,empty,8,0.6151644313921694,0.45081967213114754
Historical average,empty,9,0.7762590031808437,0.8076136717187431
Historical average,empty,10,0.9247446882335353,0.9608256368933242
LightGBM,empty,1,0.001482770839490815,0.0
LightGBM,empty,2,0.004111818138915829,0.0
LightGBM,empty,3,0.013217832151634815,0.021029301858103755
LightGBM,empty,4,0.03459186289140184,0.047058217148158644
LightGBM,empty,5,0.08389430997412671,0.04623234718070302
LightGBM,empty,6,0.16899568442459217,0.14960569042832844
LightGBM,empty,7,0.3274322628027787,0.32561915315826095
LightGBM,empty,8,0.5911247678652946,0.5363502821946756
LightGBM,empty,9,0.8520043273078511,0.7506893796871376
LightGBM,empty,10,0.9582348787534006,0.936939490774147
Random forest,empty,1,0.008457738511979826,0.0
Random forest,empty,2,0.02705733110002531,0.0020875212617906293
Random forest,empty,3,0.05511610679890834,0.029198773290724945
Random forest,empty,4,0.08759055169411512,0.029482256526557223
Random forest,empty,5,0.14212628735736996,0.0324974873076824
Random forest,empty,6,0.2672182874048808,0.10414143236347705
Random forest,empty,7,0.4055891087613734,0.36226580419039767
Random forest,empty,8,0.6136422942618537,0.6197201247326237
Random forest,empty,9,0.7891054286831436,0.7342473520088653
Random forest,empty,10,0.9104926370099093,0.8998814555200495
DLinear,empty,1,0.13759817582494036,0.03527895889704935
DLinear,empty,2,0.2349255959923007,0.0772045559964954
DLinear,empty,3,0.29103606389048176,0.12414948453608247
DLinear,empty,4,0.33028842707229283,0.15785405071119357
DLinear,empty,5,0.3614351737591714,0.17231514651684235
DLinear,empty,6,0.3976139793930854,0.17619010799247403
DLinear,empty,7,0.4712533393529962,0.2959307270056439
DLinear,empty,8,0.6158727107888456,0.4698863489936345
DLinear,empty,9,0.7431987654845457,0.6223487874648868
DLinear,empty,10,0.8532229774441379,0.6823781053499639
Transformer,empty,1,0.007020179407705463,0.0004638697041542109
Transformer,empty,2,0.016597059748797254,0.00909700030924647
Transformer,empty,3,0.03181601382980555,0.01646822328745941
Transformer,empty,4,0.06005832681864054,0.03924954256114218
Transformer,empty,5,0.11310527273555658,0.047058217148158644
Transformer,empty,6,0.24089569277798142,0.22062727108728705
Transformer,empty,7,0.3586347041260817,0.40875705486689173
Transformer,empty,8,0.4817905790276851,0.5842074066438162
Transformer,empty,9,0.6111301058617289,0.6496920341210731
Transformer,empty,10,0.7974133849537209,0.837903308937223
